deltaT, accX, accY, accZ, thetaX, thetaY, thetaZ
17408, -0.0695801, -0.0324707, 0.9108887, -2.1321721, 4.2242975, -1.6929540
14672, -0.0708008, -0.0266113, 0.9135743, -2.1224310, 4.2229137, -1.6954856
9916, -0.0698242, -0.0329590, 0.8989258, -2.1187663, 4.2271871, -1.6957681
9856, -0.0646973, -0.0302734, 0.8996582, -2.1107971, 4.2226138, -1.6945551
9868, -0.0588379, -0.0319824, 0.8996582, -2.1063463, 4.2123894, -1.6951123
9864, -0.0654297, -0.0388184, 0.9025879, -2.1092593, 4.2079048, -1.6968009
9800, -0.0595703, -0.0397949, 0.8989258, -2.1141154, 4.1965932, -1.6968093
9824, -0.0705566, -0.0341797, 0.9047852, -2.1108438, 4.1982717, -1.6972291
12380, -0.0656738, -0.0329590, 0.8945313, -2.1084132, 4.1970181, -1.6965064
9860, -0.0625000, -0.0319824, 0.8996582, -2.1049153, 4.1920604, -1.6978591
9808, -0.0720215, -0.0393066, 0.9108887, -2.1099116, 4.1944394, -1.6978668
9820, -0.0659180, -0.0390625, 0.8955079, -2.1135199, 4.1911754, -1.6965003
9816, -0.0664063, -0.0351562, 0.9047852, -2.1129529, 4.1885504, -1.6975773
9828, -0.0644531, -0.0373535, 0.9086915, -2.1140658, 4.1825275, -1.6973100
9824, -0.0666504, -0.0336914, 0.9094239, -2.1129038, 4.1807951, -1.6973194
19524, -0.0649414, -0.0336914, 0.9101563, -2.1092591, 4.1751909, -1.6970453
9896, -0.0751953, -0.0314941, 0.9187012, -2.1052594, 4.1810617, -1.6962903
9848, -0.0678711, -0.0280762, 0.9157715, -2.0948967, 4.1797761, -1.6967568
9848, -0.0661621, -0.0346680, 0.9113770, -2.0932631, 4.1749196, -1.6943224
9860, -0.0698242, -0.0415039, 0.9101563, -2.0976929, 4.1748771, -1.6954293
9832, -0.0761719, -0.0424805, 0.9086915, -2.1057560, 4.1819424, -1.6952995
9840, -0.0700684, -0.0458984, 0.9082032, -2.1163134, 4.1827206, -1.6949728
64452, -0.0651855, -0.0322266, 0.9140625, -2.1151390, 4.1726179, -1.6911183
9876, -0.0698242, -0.0256348, 0.9177247, -2.1014449, 4.1737618, -1.6907137
9836, -0.0712891, -0.0341797, 0.9084473, -2.0998058, 4.1763749, -1.6922345
9828, -0.0717773, -0.0366211, 0.9179688, -2.0997331, 4.1779751, -1.6912802
9836, -0.0703125, -0.0375977, 0.9145508, -2.1004676, 4.1784133, -1.6919748
9820, -0.0683594, -0.0441895, 0.9121094, -2.1094121, 4.1771445, -1.6910672
12324, -0.0686035, -0.0314941, 0.9140625, -2.1017217, 4.1763057, -1.6918720
9860, -0.0737305, -0.0351562, 0.9201661, -2.1004202, 4.1797666, -1.6920169
9812, -0.0749512, -0.0380859, 0.9138184, -2.1018717, 4.1847925, -1.6909566
9808, -0.0739746, -0.0349121, 0.9150391, -2.1004846, 4.1884694, -1.6926131
9828, -0.0729980, -0.0371094, 0.9082032, -2.1026830, 4.1937551, -1.6930328
9800, -0.0739746, -0.0424805, 0.9130860, -2.1118266, 4.1975097, -1.6933779
9804, -0.0690918, -0.0390625, 0.9040528, -2.1156446, 4.1987729, -1.6932481
12336, -0.0747070, -0.0280762, 0.9135743, -2.1063454, 4.2065086, -1.6921590
9840, -0.0681152, -0.0354004, 0.9057618, -2.1047482, 4.2049446, -1.6915568
9820, -0.0747070, -0.0412598, 0.9101563, -2.1114711, 4.2092204, -1.6897331
9808, -0.0673828, -0.0437012, 0.9089356, -2.1197738, 4.2056193, -1.6893285
9824, -0.0671387, -0.0434570, 0.9099122, -2.1288521, 4.2016992, -1.6893370
9824, -0.0656738, -0.0454102, 0.9089356, -2.1403832, 4.1975431, -1.6892071
9820, -0.0676270, -0.0361328, 0.9111329, -2.1397953, 4.1946873, -1.6887125
12332, -0.0700684, -0.0502930, 0.9108887, -2.1534733, 4.1942720, -1.6872570
9840, -0.0761719, -0.0480957, 0.9182129, -2.1635782, 4.2000598, -1.6858905
9800, -0.0661621, -0.0490723, 0.9057618, -2.1780619, 4.1945948, -1.6856232
9824, -0.0688477, -0.0437012, 0.9091797, -2.1849467, 4.1931085, -1.6842889
9816, -0.0673828, -0.0378418, 0.9099122, -2.1875634, 4.1897068, -1.6833347
9828, -0.0649414, -0.0429687, 0.9089356, -2.1960754, 4.1826982, -1.6842591
9812, -0.0717773, -0.0402832, 0.9138184, -2.1993148, 4.1852922, -1.6861903
12304, -0.0769043, -0.0402832, 0.9108887, -2.1996238, 4.1958842, -1.6854074
69220, -0.0651855, -0.0346680, 0.9040528, -2.1920661, 4.2074203, -1.6844120
12096, -0.0695801, -0.0434570, 0.9108887, -2.2014248, 4.2064037, -1.6833229
9904, -0.0683594, -0.0351562, 0.9033204, -2.1989293, 4.2052245, -1.6836366
9852, -0.0722656, -0.0346680, 0.9072266, -2.1971898, 4.2073197, -1.6854305
9844, -0.0771484, -0.0295410, 0.9067383, -2.1868348, 4.2161116, -1.6875762
61544, -0.0644531, -0.0339355, 0.9003907, -2.2025015, 4.2009787, -1.6847887
9840, -0.0742188, -0.0307617, 0.9067383, -2.1933786, 4.2079606, -1.6863076
9808, -0.0668945, -0.0319824, 0.9062500, -2.1885955, 4.2052917, -1.6844840
9804, -0.0695801, -0.0339355, 0.9016114, -2.1835925, 4.2063307, -1.6857137
9820, -0.0615234, -0.0366211, 0.9064942, -2.1849489, 4.1973237, -1.6868206
9828, -0.0686035, -0.0385742, 0.9018555, -2.1875324, 4.1977291, -1.6856542
9820, -0.0605469, -0.0336914, 0.9108887, -2.1838598, 4.1877331, -1.6868984
12328, -0.0625000, -0.0317383, 0.9003907, -2.1775104, 4.1824049, -1.6878246
9844, -0.0659180, -0.0366211, 0.8996582, -2.1782393, 4.1801252, -1.6870696
9816, -0.0646973, -0.0356445, 0.9084473, -2.1757409, 4.1771512, -1.6867430
9820, -0.0676270, -0.0378418, 0.9018555, -2.1755325, 4.1778874, -1.6866131
9828, -0.0676270, -0.0341797, 0.9033204, -2.1713876, 4.1754274, -1.6873849
9828, -0.0664063, -0.0346680, 0.9025879, -2.1692914, 4.1722340, -1.6893161
9816, -0.0622559, -0.0334473, 0.9001465, -2.1664729, 4.1674785, -1.6901650
19600, -0.0715332, -0.0351562, 0.9130860, -2.1647827, 4.1691331, -1.6893107
9892, -0.0729980, -0.0336914, 0.9160157, -2.1611976, 4.1747798, -1.6882505
9840, -0.0703125, -0.0332031, 0.9162598, -2.1557183, 4.1763653, -1.6850528
9860, -0.0712891, -0.0351562, 0.9125977, -2.1510796, 4.1781978, -1.6853666
9860, -0.0725098, -0.0346680, 0.9152832, -2.1476018, 4.1824569, -1.6847643
9844, -0.0710449, -0.0415039, 0.9150391, -2.1529343, 4.1812720, -1.6829856
12352, -0.0629883, -0.0324707, 0.9116211, -2.1466016, 4.1738910, -1.6829966
9872, -0.0681152, -0.0307617, 0.9111329, -2.1398956, 4.1732144, -1.6820889
9840, -0.0708008, -0.0388184, 0.9135743, -2.1423449, 4.1751184, -1.6830583
9820, -0.0727539, -0.0351562, 0.9101563, -2.1394715, 4.1802420, -1.6844400
9812, -0.0651855, -0.0390625, 0.9167481, -2.1426339, 4.1727976, -1.6856698
9828, -0.0747070, -0.0412598, 0.9040528, -2.1480000, 4.1779947, -1.6868995
9776, -0.0720215, -0.0417480, 0.9033204, -2.1544492, 4.1810712, -1.6873660
12320, -0.0644531, -0.0390625, 0.9104004, -2.1517958, 4.1586928, -1.6849944
9852, -0.0942383, -0.0725098, 0.9072266, -2.1736216, 4.1637921, -1.6828035
9824, -0.1420898, -0.1140137, 0.8833008, -2.1800804, 4.1419191, -1.6713615
9832, -0.1291504, -0.0913086, 0.8967286, -2.0954086, 4.0195803, -1.6550340
9812, -0.0905762, -0.0446777, 0.8664551, -1.9437007, 3.8353298, -1.6374537
9824, -0.0566406, -0.0656738, 0.9072266, -1.7707162, 3.5476453, -1.6118133
9824, 0.0368652, 0.0334473, 0.9409180, -1.5431499, 3.2606239, -1.5947225
12268, -0.0688477, -0.0375977, 0.8942872, -1.5896839, 3.3252611, -1.5715561
9872, -0.0856934, -0.0625000, 0.9223633, -1.6259660, 3.3472383, -1.5652431
9804, 0.3327637, 0.1743164, 1.1506347, -1.4346574, 3.0099232, -1.5637248
9772, -0.1372070, -0.0859375, 0.9484864, -1.4648516, 3.0913381, -1.5585424
9812, -0.1032715, -0.0498047, 0.9104004, -1.4880123, 3.1459264, -1.5564135
9812, -0.1008301, -0.0632324, 0.9064942, -1.5323262, 3.2118985, -1.5814287
9824, -0.1057129, 0.0349121, 0.9157715, -1.4566361, 3.2723927, -1.6701394
12320, 0.0986328, 0.0249023, 0.9272461, -1.3984493, 3.0848701, -1.7013106
9792, -0.0664063, -0.0549316, 0.9033204, -1.4524705, 3.1155498, -1.7013191
9808, 0.0056152, 0.0244141, 0.9284668, -1.4295122, 3.0852005, -1.6937694
9744, -0.0749512, -0.0605469, 0.9086915, -1.5081158, 3.1438784, -1.6582054
66608, -0.0556641, -0.0317383, 0.9123536, -1.5141148, 3.1389691, -1.6664448
12148, -0.0573730, -0.0212402, 0.9079590, -1.5116647, 3.1455087, -1.6664550
12436, -0.0549316, -0.0222168, 0.9020997, -1.5205255, 3.1494538, -1.6677475
9884, -0.0539551, -0.0292969, 0.9001465, -1.5395953, 3.1534364, -1.6685194
9852, -0.0324707, -0.0239258, 0.9042969, -1.5490777, 3.1364977, -1.6703598
9852, 0.0048828, 0.0268555, 0.9211426, -1.5214707, 3.1078896, -1.6738797
9740, -0.0371094, -0.0141602, 0.9064942, -1.5643351, 3.1596963, -1.6819941
9832, -0.0407715, -0.0200195, 0.9167481, -1.6293540, 3.2384290, -1.6927515
