deltaT, accX, accY, accZ, thetaX, thetaY, thetaZ
9792, -0.0222168, -0.0095215, 0.9135743, -0.6746249, 1.3614938, 1.1827014
12280, -0.0227051, -0.0097656, 0.9045411, -0.6705117, 1.3629412, 1.1819421
9836, -0.0151367, -0.0207520, 0.9118653, -0.6833519, 1.3550666, 1.1802406
9792, -0.0134277, -0.0031738, 0.9174805, -0.6764380, 1.3414248, 1.1797605
9772, -0.0261230, -0.0104980, 0.9187012, -0.6772603, 1.3449535, 1.1841377
9780, -0.0297852, -0.0141602, 0.9128418, -0.6803328, 1.3528052, 1.1861003
9780, -0.0178223, -0.0085449, 0.9147950, -0.6770937, 1.3528823, 1.1836072
9792, -0.0161133, -0.0163574, 0.9165040, -0.6841460, 1.3459882, 1.1820714
12316, -0.0173340, -0.0124512, 0.9121094, -0.6845608, 1.3388015, 1.1822282
9840, -0.0258789, -0.0056152, 0.9211426, -0.6782059, 1.3488987, 1.1815213
9780, -0.0175781, -0.0151367, 0.9138184, -0.6841645, 1.3412469, 1.1843999
9812, -0.0197754, -0.0122070, 0.9082032, -0.6864555, 1.3380305, 1.1851412
9780, -0.0261230, -0.0068359, 0.9133301, -0.6838955, 1.3442324, 1.1871824
9788, -0.0229492, -0.0085449, 0.9147950, -0.6820094, 1.3458623, 1.1844122
9788, -0.0205078, -0.0136719, 0.9169922, -0.6865637, 1.3438233, 1.1839801
19736, -0.0261230, -0.0146484, 0.9113770, -0.6982240, 1.3493425, 1.1872947
9860, -0.0253906, -0.0100098, 0.9172364, -0.6930644, 1.3547041, 1.1857633
9796, -0.0183105, -0.0078125, 0.9177247, -0.6893692, 1.3524112, 1.1869626
9832, -0.0222168, -0.0170898, 0.9194336, -0.6947639, 1.3562129, 1.1877671
9828, -0.0185547, 0.0007324, 0.9194336, -0.6821174, 1.3514125, 1.1907657
9788, -0.0236816, -0.0068359, 0.9062500, -0.6763631, 1.3533251, 1.1871733
9816, -0.0195312, -0.0192871, 0.9187012, -0.6854949, 1.3506039, 1.1885253
12348, -0.0251465, -0.0109863, 0.9099122, -0.6857911, 1.3545628, 1.1916133
9840, -0.0217285, -0.0068359, 0.9165040, -0.6782886, 1.3569446, 1.1924287
9784, -0.0161133, -0.0039063, 0.9094239, -0.6703703, 1.3477663, 1.1924088
9788, -0.0222168, -0.0131836, 0.9082032, -0.6706590, 1.3496724, 1.1894859
9784, -0.0185547, -0.0058594, 0.9060059, -0.6680122, 1.3483173, 1.1878172
9772, -0.0202637, -0.0104980, 0.9150391, -0.6701507, 1.3484536, 1.1835944
12324, -0.0209961, -0.0124512, 0.9064942, -0.6715959, 1.3442975, 1.1824687
9836, -0.0258789, -0.0180664, 0.9169922, -0.6797174, 1.3506345, 1.1835480
9780, -0.0290527, -0.0148926, 0.9182129, -0.6803702, 1.3558232, 1.1825664
9788, -0.0200195, -0.0144043, 0.9145508, -0.6830801, 1.3529883, 1.1805596
9760, -0.0166016, -0.0148926, 0.9101563, -0.6879845, 1.3451842, 1.1809955
9804, -0.0244141, -0.0009766, 0.9116211, -0.6781172, 1.3467239, 1.1821948
9812, -0.0317383, -0.0134277, 0.9121094, -0.6783010, 1.3569501, 1.1812131
12344, -0.0249023, -0.0039063, 0.9074707, -0.6749263, 1.3582885, 1.1819194
9812, -0.0200195, -0.0158691, 0.9079590, -0.6802030, 1.3582981, 1.1788722
9768, -0.0178223, -0.0095215, 0.9082032, -0.6812120, 1.3548996, 1.1803637
9788, -0.0236816, -0.0034180, 0.9143067, -0.6743250, 1.3579391, 1.1803438
9772, -0.0224609, -0.0170898, 0.9240723, -0.6798839, 1.3586105, 1.1792531
9792, -0.0126953, -0.0075684, 0.9230957, -0.6754077, 1.3490531, 1.1778569
