deltaT, accX, accY, accZ, thetaX, thetaY, thetaZ
9764, -0.0549316, -0.0480957, 0.9062500, -2.7580504, 3.3445971, 0.6056931
9760, -0.0615234, -0.0429687, 0.9169922, -2.7526969, 3.3498344, 0.6054978
12328, -0.0583496, -0.0437012, 0.9052735, -2.7497305, 3.3485209, 0.6042517
9800, -0.0573730, -0.0400391, 0.9038086, -2.7430884, 3.3504345, 0.6035264
9744, -0.0612793, -0.0461426, 0.9023438, -2.7446713, 3.3555476, 0.6031785
9784, -0.0563965, -0.0468750, 0.9086915, -2.7430753, 3.3559758, 0.6017661
9760, -0.0559082, -0.0490723, 0.9099122, -2.7457573, 3.3561708, 0.6003495
9752, -0.0517578, -0.0463867, 0.9077149, -2.7458698, 3.3520328, 0.5998489
9764, -0.0466309, -0.0463867, 0.9057618, -2.7466902, 3.3437461, 0.5996537
12332, -0.0534668, -0.0395508, 0.9106446, -2.7372658, 3.3407268, 0.5997859
9808, -0.0539551, -0.0454102, 0.9016114, -2.7377159, 3.3397886, 0.6026330
9772, -0.0556641, -0.0461426, 0.9091797, -2.7388882, 3.3404204, 0.6009111
9756, -0.0498047, -0.0515137, 0.9018555, -2.7461977, 3.3360993, 0.6008686
9768, -0.0532227, -0.0493164, 0.9069825, -2.7501835, 3.3334782, 0.6009676
9776, -0.0522461, -0.0483398, 0.9094239, -2.7530012, 3.3283441, 0.6021465
9768, -0.0571289, -0.0463867, 0.9116211, -2.7524394, 3.3295671, 0.6016459
12348, -0.0578613, -0.0444336, 0.9130860, -2.7477831, 3.3337357, 0.6030605
9788, -0.0554199, -0.0461426, 0.9094239, -2.7468092, 3.3326835, 0.6039340
9768, -0.0532227, -0.0478516, 0.9121094, -2.7495448, 3.3301575, 0.6048574
9780, -0.0617676, -0.0495605, 0.9069825, -2.7537517, 3.3377609, 0.6027954
9768, -0.0603027, -0.0434570, 0.9060059, -2.7513606, 3.3409817, 0.6027570
17376, -0.0578613, -0.0505371, 0.9074707, -2.7590932, 3.3394348, 0.6022004
12056, -0.0458984, -0.0551758, 0.9018555, -2.7693626, 3.3285326, 0.6023215
12416, -0.0539551, -0.0466309, 0.9064942, -2.7689440, 3.3259644, 0.6024647
9828, -0.0510254, -0.0529785, 0.9011231, -2.7761814, 3.3220021, 0.6034908
9784, -0.0578613, -0.0434570, 0.9011231, -2.7729268, 3.3244435, 0.6038647
9808, -0.0566406, -0.0473633, 0.9113770, -2.7741367, 3.3266389, 0.6039638
9776, -0.0578613, -0.0471191, 0.9145508, -2.7744324, 3.3291184, 0.6049247
9780, -0.0573730, -0.0412598, 0.9033204, -2.7666192, 3.3331167, 0.6050238
9768, -0.0585937, -0.0510254, 0.9074707, -2.7717247, 3.3356552, 0.6049813
12316, -0.0603027, -0.0461426, 0.9067383, -2.7687351, 3.3442194, 0.6051134
9812, -0.0537109, -0.0368652, 0.9013672, -2.7575395, 3.3426992, 0.6046128
9772, -0.0527344, -0.0488281, 0.9077149, -2.7599663, 3.3375947, 0.6059443
9764, -0.0563965, -0.0439453, 0.9064942, -2.7568666, 3.3392841, 0.6061809
9772, -0.0534668, -0.0493164, 0.9111329, -2.7611796, 3.3362109, 0.6069670
9780, -0.0583496, -0.0510254, 0.9060059, -2.7657527, 3.3379049, 0.6063137
12292, -0.0583496, -0.0476074, 0.9104004, -2.7653560, 3.3386993, 0.6060990
9776, -0.0490723, -0.0449219, 0.9077149, -2.7637836, 3.3291380, 0.6060606
9768, -0.0556641, -0.0439453, 0.9077149, -2.7614610, 3.3279943, 0.6064761
9776, -0.0544434, -0.0466309, 0.9057618, -2.7613580, 3.3270041, 0.6073495
9760, -0.0541992, -0.0449219, 0.9091797, -2.7602429, 3.3256244, 0.6070016
9756, -0.0578613, -0.0463867, 0.9111329, -2.7596900, 3.3290684, 0.6073755
9768, -0.0578613, -0.0537109, 0.8989258, -2.7696237, 3.3333342, 0.6073329
19600, -0.0507812, -0.0405273, 0.9064942, -2.7596621, 3.3226394, 0.6035837
9820, -0.0534668, -0.0429687, 0.9099122, -2.7563257, 3.3206734, 0.6036828
9800, -0.0578613, -0.0517578, 0.9072266, -2.7636456, 3.3203406, 0.6028201
9784, -0.0559082, -0.0449219, 0.9108887, -2.7627451, 3.3205716, 0.6027775
9792, -0.0576172, -0.0468750, 0.9150391, -2.7620432, 3.3212060, 0.6019716
9780, -0.0512695, -0.0495605, 0.9062500, -2.7640855, 3.3152773, 0.6011657
9776, -0.0534668, -0.0483398, 0.9108887, -2.7661690, 3.3128995, 0.6007152
12352, -0.0512695, -0.0463867, 0.9016114, -2.7665483, 3.3072800, 0.6001145
9792, -0.0517578, -0.0502930, 0.9089356, -2.7721061, 3.3030540, 0.5987242
9756, -0.0537109, -0.0507812, 0.8999024, -2.7786777, 3.3034024, 0.5995103
9752, -0.0556641, -0.0402832, 0.9089356, -2.7722475, 3.3029453, 0.5996204
9756, -0.0573730, -0.0485840, 0.9104004, -2.7737150, 3.3054828, 0.5990324
9740, -0.0498047, -0.0463867, 0.9069825, -2.7731239, 3.2982697, 0.5996006
9764, -0.0563965, -0.0471191, 0.9140625, -2.7737669, 3.2981033, 0.5995623
12368, -0.0527344, -0.0476074, 0.9069825, -2.7750520, 3.2971584, 0.5973128
9808, -0.0583496, -0.0471191, 0.9096680, -2.7753925, 3.2996525, 0.5976867
9768, -0.0534668, -0.0512695, 0.9057618, -2.7798466, 3.2989439, 0.5968808
9756, -0.0578613, -0.0466309, 0.9067383, -2.7788238, 3.3045072, 0.5951588
9756, -0.0563965, -0.0466309, 0.9091797, -2.7770175, 3.3053390, 0.5948109
9752, -0.0590820, -0.0402832, 0.9047852, -2.7698519, 3.3104948, 0.5935359
9756, -0.0573730, -0.0510254, 0.9047852, -2.7751379, 3.3128223, 0.5919666
12332, -0.0583496, -0.0490723, 0.9094239, -2.7784287, 3.3173868, 0.5911174
9800, -0.0554199, -0.0466309, 0.9140625, -2.7768299, 3.3178656, 0.5910791
9768, -0.0554199, -0.0539551, 0.9047852, -2.7861270, 3.3183343, 0.5899415
9764, -0.0593262, -0.0495605, 0.9106446, -2.7894151, 3.3229341, 0.5896284
9776, -0.0546875, -0.0419922, 0.9157715, -2.7832992, 3.3213717, 0.5892805
9780, -0.0498047, -0.0480957, 0.9025879, -2.7866187, 3.3159546, 0.5907647
12308, -0.0256348, -0.0788574, 0.9042969, -2.8277902, 3.2837989, 0.5907135
17452, -0.0573730, -0.0388184, 0.8950196, -2.8369806, 3.2940661, 0.5895378
12068, -0.0400391, -0.0141602, 0.9240723, -2.8041133, 3.2816491, 0.5894909
9872, -0.0598145, -0.0612793, 0.8955079, -2.8173680, 3.2856626, 0.5913763
9792, -0.0695801, -0.0646973, 0.9011231, -2.8408433, 3.3036935, 0.5914864
9804, -0.0434570, -0.0375977, 0.9077149, -2.8296749, 3.2926721, 0.5907611
9820, -0.0544434, -0.0432129, 0.9165040, -2.8251659, 3.2891058, 0.5910501
12312, -0.0622559, -0.0427246, 0.9006348, -2.8199768, 3.2921769, 0.5931975
9812, -0.0668945, -0.0488281, 0.8957520, -2.8221626, 3.3090884, 0.5924722
